name,state,id,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total
Aaniiih Nakoda College,Montana,22,Public,2 Year,NA,2380,2380,2380,2380
Abilene Christian University,Texas,23,Private,4 Year,10350,34850,45200,34850,45200
Abraham Baldwin Agricultural College,Georgia,12,Public,2 Year,8474,4128,12602,12550,38024
Academy College,Minnesota,24,For Profit,2 Year,NA,21661,21661,21661,21661
Academy of Art University,California,6,For Profit,4 Year,16648,27810,44458,27810,44458
Adams State University,Colorado,8,Public,4 Year,8782,9440,49222,20456,29238
Adelphi University,New York,25,Private,4 Year,16030,38660,54690,38660,54690
Adirondack Community College,New York,25,Public,2 Year,11660,5375,21035,9935,38595
Adrian College,Michigan,26,Private,4 Year,11349,37087,48405,37087,48405
Advanced Technology Institute,Virginia,27,For Profit,2 Year,NA,13680,13680,13680,13680
Adventist University of Health Sciences,Florida,11,Private,4 Year,4200,15150,48350,15150,48350
Agnes Scott College,Georgia,12,Private,4 Year,12330,41160,53490,41160,53490
Aiken Technical College,South Carolina,28,Public,2 Year,NA,5160,5160,8010,8010
Aims Community College,Colorado,8,Public,2 Year,NA,2281,2281,13049,13049
Alabama Agricultural and Mechanical University,Alabama,1,Public,4 Year,8379,9698,49077,21949,26297
Alabama Southern Community College,Alabama,1,Public,2 Year,NA,4440,4440,8880,8880
Alabama State University,Alabama,1,Public,4 Year,5422,11068,16490,48396,24849
Alamance Community College,North Carolina,29,Public,2 Year,NA,2310,2310,8070,8070
Alaska Bible College,Alaska,2,Private,4 Year,5700,9300,15000,9300,15000
Alaska Pacific University,Alaska,2,Private,4 Year,7300,20830,28130,20830,28130
Albany College of Pharmacy and Health Sciences,New York,25,Private,4 Year,10920,35105,46025,35105,46025
Albany State University,Georgia,12,Public,4 Year,8878,6726,15604,48802,28680
Albany Technical College,Georgia,12,Public,2 Year,NA,3246,3246,5916,5916
Albertus Magnus College,Connecticut,9,Private,4 Year,13200,32060,45260,32060,45260
Albion College,Michigan,26,Private,4 Year,12380,45775,58155,45775,58155
Albright College,Pennsylvania,30,Private,4 Year,12070,45306,57376,45306,57376
Alcorn State University,Mississippi,31,Public,4 Year,9608,7144,16752,7144,16752
Alderson-Broaddus University,West Virginia,32,Private,4 Year,8860,27910,36770,27910,36770
Alexandria Technical and Community College,Minnesota,24,Public,2 Year,NA,5416,5416,5416,5416
Alfred University,New York,25,Private,4 Year,12516,33484,46000,33484,46000
Allan Hancock College,California,6,Public,2 Year,NA,1449,1449,7898,7898
Allegany College of Maryland,Maryland,20,Public,2 Year,NA,4140,4140,9380,9380
Allegheny College,Pennsylvania,30,Private,4 Year,13840,47540,59680,47540,59680
Allegheny Wesleyan College,Ohio,33,Private,4 Year,4000,6400,10400,6400,10400
Allen College,Iowa,34,Private,4 Year,7282,48970,27252,48970,27252
Allen County Community College,Kansas,16,Public,2 Year,5070,3150,8220,3150,8220
Allen University,South Carolina,28,Private,4 Year,7230,13340,20570,13340,20570
Alliant International University,California,6,Private,4 Year,NA,49000,49000,49000,49000
Alma College,Michigan,26,Private,4 Year,10998,40258,51256,40258,51256
Alpena Community College,Michigan,26,Public,2 Year,NA,4530,4530,6840,6840
Alvernia University,Pennsylvania,30,Private,4 Year,NA,34885,34885,34885,34885
Alverno College,Wisconsin,35,Private,4 Year,8546,28302,36848,28302,36848
Alvin Community College,Texas,23,Public,2 Year,NA,4898,4898,4849,4849
Amarillo College,Texas,23,Public,2 Year,NA,2670,2670,5880,5880
Amberton University,Texas,23,Private,4 Year,NA,12840,12840,12840,12840
American Academy McAllister Institute of Funeral Service,New York,25,Private,2 Year,NA,21160,21160,21160,21160
American Academy of Art,Illinois,36,Private,4 Year,NA,34100,34100,34100,34100
American Academy of Dramatic Arts,New York,25,Private,2 Year,21955,35160,53115,35160,53115
American Academy of Dramatic Arts: West,California,6,Private,2 Year,13255,35160,48415,35160,48415
American Baptist College,Tennessee,37,Private,4 Year,8640,10950,48590,10950,48590
American Indian College of the Assemblies of God,Arizona,4,Private,4 Year,6250,958,7208,958,7208
American International College,Massachusetts,38,Private,4 Year,14300,35680,49980,35680,49980
American Jewish University,California,6,Private,4 Year,21362,34926,49498,34926,49498
American National University: Charlottesville,Virginia,27,For Profit,2 Year,NA,49735,49735,49735,49735
American National University: Danville,Virginia,27,For Profit,2 Year,NA,49735,49735,49735,49735
American National University: Harrisonburg,Virginia,27,For Profit,2 Year,NA,49735,49735,49735,49735
American National University: Lynchburg,Virginia,27,For Profit,2 Year,NA,49735,49735,49735,49735
American National University: Martinsville,Virginia,27,For Profit,2 Year,NA,49735,49735,49735,49735
American National University: Salem,Virginia,27,For Profit,4 Year,NA,49735,49735,49735,49735
American  University SystemFor-profit,West Virginia,32,Public,4 Year,NA,8150,8150,8150,8150
American River College,California,6,Public,2 Year,NA,1416,1416,9546,9546
American Samoa Community College,NA,39,Public,2 Year,NA,3700,3700,3700,3700
American University,NA,40,Private,4 Year,14880,48459,63339,48459,63339
American University of Puerto Rico,NA,41,Private,4 Year,NA,6946,6946,6946,6946
Amherst College,Massachusetts,38,Private,4 Year,14740,56426,71166,56426,71166
Amridge University,Alabama,1,Private,4 Year,NA,6900,6900,6900,6900
Ancilla College,Indiana,42,Private,2 Year,9600,21330,26930,21330,26930
Anderson University,South Carolina,28,Private,4 Year,9830,28000,37830,28000,37830
Anderson University,Indiana,42,Private,4 Year,9890,30450,40340,30450,40340
Andrew College,Georgia,12,Private,2 Year,10636,21388,28024,21388,28024
Andrews University,Michigan,26,Private,4 Year,9078,29288,38366,29288,38366
Angelina College,Texas,23,Public,2 Year,5500,2625,8125,5535,11035
Angelo State University,Texas,23,Public,4 Year,9130,8489,21648,20939,30069
Anna Maria College,Massachusetts,38,Private,4 Year,14630,37860,52490,37860,52490
Anne Arundel Community College,Maryland,20,Public,2 Year,NA,4110,4110,12490,12490
Anoka Technical College,Minnesota,24,Public,2 Year,NA,5584,5584,5584,5584
Anoka-Ramsey Community College,Minnesota,24,Public,2 Year,NA,5073,5073,5073,5073
Antelope Valley College,California,6,Public,2 Year,NA,1420,1420,9760,9760
Antioch College,Ohio,33,Private,4 Year,7640,35749,43358,35749,43358
Antioch University Los Angeles,California,6,Private,4 Year,NA,20670,20670,20670,20670
Antioch University Midwest,Ohio,33,Private,4 Year,NA,16380,16380,16380,16380
Antioch University Santa Barbara,California,6,Private,4 Year,NA,22575,22575,22575,22575
Antioch University Seattle,Washington,44,Private,4 Year,NA,27435,27435,27435,27435
Apex School of Theology,North Carolina,29,Private,4 Year,NA,6200,6200,6200,6200
Appalachian Bible College,West Virginia,32,Private,4 Year,7960,14720,22680,14720,22680
Appalachian State University,North Carolina,29,Public,4 Year,8304,7384,15549,22038,30325
Aquinas College,Michigan,26,Private,4 Year,9332,32574,44806,32574,44806
Aquinas College,Tennessee,37,Private,4 Year,NA,23600,23600,23600,23600
Arapahoe Community College,Colorado,8,Public,2 Year,NA,4811,4811,49671,49671
Arcadia University,Pennsylvania,30,Private,4 Year,13800,43580,57380,43580,57380
Arizona Christian University,Arizona,4,Private,4 Year,10674,26796,37470,26796,37470
Arizona State University,Arizona,4,Public,4 Year,12648,10822,23470,28336,40984
Arizona Western College,Arizona,4,Public,2 Year,6700,2520,9220,9510,16380
Arkansas Baptist College,Arkansas,5,Private,4 Year,8826,8760,21586,8760,21586
Arkansas Northeastern College,Arkansas,5,Public,2 Year,NA,2450,2450,4250,4250
Arkansas State University,Arkansas,5,Public,4 Year,8160,8608,16768,15298,23458
Arkansas State University Mid-South,Arkansas,5,Public,2 Year,NA,3274,3274,5014,5014
Arkansas State University: Beebe,Arkansas,5,Public,2 Year,5280,3600,8880,5760,11040
Arkansas State University: Mountain Home,Arkansas,5,Public,2 Year,NA,3570,3570,5580,5580
